clave_articulo,descripcion,inventarios,tipo_documentos,linea,serie,unidad,unidad_empaque,cantidad_almacen,rack,control_almacen,concepto,tipo_documento,documento,clave_cliente_proveedor,clave_vendedor,cantidad,precio,costo,tiempo_surtido,stock_min,stock_max,tipo_costeo,fecha_ultima_compra,pendiente_recibir,fecha_ultima_venta,pendientes_surtir,existencias,costo_promedio,ultimo_costo,tipo_elemento,unidad_salida,factor_entre_unidades,apartados,lote,pedimento,peso,volumen,clave_esuqema,cantidad_ventas_anuales,monto_ventas_anuales,cantidad_compras_anuales,monto_compras_anuales,cuenta_contable,estatus,manejo_ieps,tax_num,cuota_ieps,forma_ieps,clave_sat,clave_unidad,catalogo,id_catalogo,titulo_ml,color,medidas,volts,a,w,marca
SB350R,CONECTOR SB350 ROJO,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,30,,,,,,,270,270,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,ROJA,,,,,TOTAL SOURCE
SB350R20,CONECTOR SB350 ROJO 2/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,1,100,,,,,,,350,350,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,ROJA,,,,,TOTAL SOURCE
SB350R40,CONECTOR SB350 ROJO 4/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,1,100,,,,,,,500,500,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,ROJA,,,,,TOTAL SOURCE
SB350RU,CONECTOR SB350 ROJO USADO,1,M,REF,N,PZ,,1,1D,1-1D,,,,DUAG60100,,,,,3,0,100,,,,,,,150,150,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,ROJA,,,,,TOTAL SOURCE
SB350Y,CONECTOR SB350 AMARILLO,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,30,,,,,,,270,270,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AMARILLA,,,,,TOTAL SOURCE
SB350Y20,CONECTOR SB350 AMARILLO 2/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,100,,,,,,,350,350,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AMARILLA,,,,,TOTAL SOURCE
SB350Y40,CONECTOR SB350 AMARILLO 4/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,100,,,,,,,500,500,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AMARILLA,,,,,TOTAL SOURCE
SB350YU,CONECTOR SB350 AMARILLO USADO,1,M,REF,N,PZ,,1,1D,1-1D,,,,DUAG60100,,,,,3,0,100,,,,,,,150,150,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AMARILLA,,,,,TOTAL SOURCE
SBX175B,CONECTOR SBX175 AZUL,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,2,100,,,,,,,300,300,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AZUL,,,,,TOTAL SOURCE
SBX175B10,CONECTOR SBX175 AZUL 1/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,10,,,,,,,500,500,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AZUL,,,,,TOTAL SOURCE
